is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
is_analytic_yes posemo_yes negemo_yes cause_yes see_yes power_yes reward_yes many_sixltr high_wps none  lawmakers targeting access care pp based fake criminal video campaign coordinated indicted anti abortion extremists 
is_authentic_no discrep_yes see_yes power_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  new study shows people want sexed consent education given young people saam 
is_analytic_yes is_tone_no posemo_yes negemo_yes anx_yes anger_yes cause_yes power_yes reward_yes risk_yes netspeak_yes few_sixltr has_photo has_url  24 states threatened access care pp bc anti abortion extremists lies 
is_tone_no posemo_yes negemo_yes anx_yes anger_yes sad_yes cause_yes differ_yes achieve_yes risk_yes netspeak_yes has_url  million americans risk losing health care anti abortion extremists lies 
is_authentic_no is_tone_yes posemo_yes differ_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_hashtag has_url  trans teenager virginia won case high school discriminatory bathroom policy wearenotthis 
is_analytic_no is_authentic_no discrep_yes see_yes netspeak_yes few_sixltr high_wps has_photo has_url  photos trans gender diverse kids want seen 
is_analytic_yes is_tone_no negemo_yes anger_yes insight_yes cause_yes certain_yes see_yes power_yes netspeak_yes has_hashtag has_url  anti abortion politicians used faked videos proven lies sham committees push extreme agenda standwithpp 
is_clout_yes is_tone_no negemo_yes anger_yes cause_yes affiliation_yes power_yes netspeak_yes has_url  anti abortion politicians calling lies harm causing folks rely pp 
is_analytic_no insight_yes discrep_yes certain_yes power_yes netspeak_yes has_qmark has_photo has_url  think elected officials base legislation things like facts right nope 
is_authentic_no cause_yes discrep_yes certain_yes power_yes netspeak_yes few_sixltr high_wps has_photo has_url  trans man resistance nc discriminatory law wants use restroom 
is_analytic_yes is_tone_no posemo_yes negemo_yes anx_yes anger_yes power_yes reward_yes risk_yes netspeak_yes has_photo has_hashtag has_url  politicians waging war access health care putting million americans risk standwithpp 
is_analytic_no posemo_yes insight_yes cause_yes discrep_yes differ_yes netspeak_yes few_sixltr has_qmark has_photo has_url  mon mississippi really want making decisions women health care 
is_clout_yes is_authentic_no posemo_yes negemo_yes anger_yes cause_yes hear_yes many_sixltr high_wps none  today select committee hearing attempt undermine women health care generating hostility abortion providers 
is_analytic_yes is_authentic_no tentat_yes affiliation_yes netspeak_yes has_url  court overturned nd abortion ban extreme ordered pay abortion rights groups legal fees 
is_authentic_no insight_yes cause_yes netspeak_yes few_sixltr has_qmark has_photo has_hashtag has_url  real talk men determining fate mississippi women standwithpp 
is_analytic_yes is_authentic_no is_tone_no posemo_yes negemo_yes anger_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr has_hashtag has_url  cmcs warns states attempts block patients care planned parenthood violates law standwithpp 
is_analytic_no is_tone_no negemo_yes anger_yes insight_yes cause_yes differ_yes power_yes risk_yes high_wps none  think responsibility prevent sexual assault realize insulting 
posemo_yes insight_yes cause_yes certain_yes see_yes reward_yes netspeak_yes has_url  centers medicare medicaid services clear people right choose care 
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes hear_yes power_yes netspeak_yes has_video has_hashtag has_url  merrick garland job oklahomacity senate fair hearing vote weneednine 
is_analytic_no is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes tentat_yes differ_yes netspeak_yes few_sixltr high_wps has_url  sexual harassment dirty little secret women talk npr nina totenberg 
is_analytic_no is_authentic_yes posemo_yes certain_yes achieve_yes netspeak_yes few_sixltr has_url  hillary clinton lines proud 
is_authentic_no is_tone_yes posemo_yes cause_yes affiliation_yes power_yes reward_yes netspeak_yes has_exclam has_photo has_url  tell congress help zika affected countries access reproductive health care 
is_analytic_no is_authentic_yes is_tone_yes posemo_yes negemo_yes anger_yes cause_yes differ_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes has_photo has_hashtag has_url  daca dapa keeps immigrant families safe helps lead healthy lives fightforfamilies 
is_clout_yes is_tone_no negemo_yes anger_yes affiliation_yes power_yes netspeak_yes many_sixltr low_wps has_exclam has_hashtag has_url  dapa daca integral keeping immigrant families scotus fightforfamilies stand justice 
is_clout_yes is_tone_yes posemo_yes negemo_yes anger_yes affiliation_yes power_yes risk_yes many_sixltr low_wps has_hashtag  dear scotus unfreezedapa strengthen communities protect families grow economy fightforfamilies 
is_analytic_no posemo_yes discrep_yes certain_yes differ_yes see_yes hear_yes power_yes netspeak_yes few_sixltr has_qmark has_hashtag has_url  sure exactly equalpayday gave speech senate floor watch 
is_analytic_no is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes tentat_yes differ_yes see_yes affiliation_yes power_yes risk_yes netspeak_yes few_sixltr has_photo has_url  john kasich presidency punish marginalize women let dangerous agenda white house 
is_authentic_no is_tone_yes posemo_yes see_yes netspeak_yes few_sixltr has_photo has_url  future reproductive health care bright 
is_analytic_no is_tone_yes posemo_yes insight_yes certain_yes differ_yes affiliation_yes reward_yes netspeak_yes has_url  study finds sex parents obviously good opposite sex ones 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes achieve_yes power_yes reward_yes risk_yes netspeak_yes many_sixltr has_hashtag has_url  itsonus strategy curbing epidemic sexual assault getting men involved bystander intervention saam 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes power_yes risk_yes netspeak_yes many_sixltr has_photo has_url  gynotician alert mississippi governor signed legislation banning common safe abortion method 
is_clout_yes is_authentic_no posemo_yes discrep_yes certain_yes affiliation_yes achieve_yes reward_yes risk_yes netspeak_yes low_wps has_url  families stop deportations opportunities daca dapa protected 
is_authentic_yes differ_yes affiliation_yes netspeak_yes has_photo has_url  vision future include alleys despite attempts send 
is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  translation victim blaming comment boys boys notmycandidate 
is_authentic_no posemo_yes discrep_yes reward_yes netspeak_yes has_url  anti abortion extremists getting bold guy wants people abortion missouri 
is_analytic_no is_authentic_yes certain_yes differ_yes affiliation_yes netspeak_yes few_sixltr has_hashtag has_url  20 million new cases stds yr afford educate young people rehya 
differ_yes reward_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  teens getting sexed decade ago according new study 
is_tone_no negemo_yes netspeak_yes few_sixltr has_qmark has_photo has_hashtag has_url  gynotician caught pushing anti woman agenda resort witch hunt 
is_clout_yes is_authentic_no insight_yes cause_yes discrep_yes affiliation_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  know real reason targeting pp want outlaw abortion standwithpp 
posemo_yes negemo_yes anger_yes tentat_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes low_wps has_url  plan stop sexual assault parties lot alcohol thanks expert 
is_analytic_no is_authentic_no is_tone_no negemo_yes insight_yes tentat_yes hear_yes achieve_yes power_yes netspeak_yes nonflu_yes has_hashtag has_url  ugh alaska senator trying block sexeducation says sexuality new concept learning 
is_analytic_no is_authentic_no is_tone_no posemo_yes negemo_yes cause_yes discrep_yes affiliation_yes netspeak_yes has_photo has_url  gop candidates ban abortion cut pp patients care cut bc coverage 
is_analytic_no is_authentic_no affiliation_yes netspeak_yes low_wps has_qmark has_hashtag has_url  demdebate moderators won askaboutabortion ppact4hillary 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes insight_yes discrep_yes many_sixltr low_wps has_exclam has_hashtag  thank people appoint scotus people believe roevwade settled ppact4hillary 
is_authentic_no is_tone_yes posemo_yes certain_yes netspeak_yes low_wps has_hashtag has_url  truth ppact4hillary 
is_analytic_no is_clout_yes posemo_yes cause_yes discrep_yes affiliation_yes achieve_yes power_yes netspeak_yes has_qmark has_photo has_hashtag has_url  long past askaboutabortion reality need champion ppact4hillary 
is_analytic_no is_authentic_no is_tone_no negemo_yes anx_yes insight_yes cause_yes power_yes netspeak_yes has_hashtag has_url  burial cremation laws intended shame women decision kellie copeland wontbepunished 
posemo_yes insight_yes risk_yes netspeak_yes high_wps has_photo has_url  won believe anti abortion extremists latest attempt ban safe legal abortion 
is_analytic_no posemo_yes cause_yes tentat_yes see_yes netspeak_yes has_photo has_hashtag has_url  nearly half country targeting care based faked videos standwithpp 
is_analytic_no is_authentic_no is_tone_no negemo_yes anger_yes cause_yes discrep_yes power_yes netspeak_yes has_hashtag has_url  colleges need transparent sexual assault handled campus saam itsonus 
is_analytic_no is_clout_yes is_tone_no negemo_yes anger_yes insight_yes cause_yes tentat_yes differ_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  deserve know college university handles sexual assault campus saam itsonus 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes negemo_yes anger_yes tentat_yes differ_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  thanks amazing leaders fighting attempt restrict safe legal abortion nothanksfranks 
is_analytic_yes is_clout_yes is_tone_yes posemo_yes insight_yes cause_yes see_yes risk_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  trust black women make right decisions marcela howell nothanksfranks no2prenda 
is_analytic_yes is_authentic_no cause_yes see_yes netspeak_yes low_wps has_exclam has_hashtag has_url  thanksobamacare uninsured rate dropped black folks 10 hispanics 2013 
is_tone_no negemo_yes sad_yes cause_yes certain_yes differ_yes see_yes achieve_yes risk_yes netspeak_yes has_hashtag has_url  study showed american women lose 500 billion year paid men wagegap 
is_analytic_no is_clout_yes posemo_yes insight_yes tentat_yes affiliation_yes risk_yes low_wps has_qmark none  woman asks social security responds somebody tell ask question replies think 
is_clout_no is_tone_no negemo_yes anx_yes anger_yes differ_yes power_yes risk_yes netspeak_yes has_photo has_hashtag has_url  moleg threatened pp ceo jailtime turning private medical records 
is_clout_yes is_authentic_no posemo_yes certain_yes reward_yes risk_yes netspeak_yes low_wps has_url  women europe unite reproductive rights human rights deserves access safe legal abortion 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes affiliation_yes power_yes reward_yes netspeak_yes low_wps has_qmark has_url  knack condescending ignorant women experiences seriously 
cause_yes achieve_yes power_yes reward_yes netspeak_yes has_hashtag has_url  ex gop staffer exposes purpose voter id laws people constitutional rights away restorethevra 
is_clout_yes is_authentic_no is_tone_no negemo_yes tentat_yes see_yes affiliation_yes netspeak_yes has_url  new study shows american women experienced physical violence partner costs 
is_authentic_no discrep_yes see_yes affiliation_yes power_yes netspeak_yes has_hashtag has_url  women color bear brunt gender wage gap gop presidential candidates help equalpayday 
is_authentic_no certain_yes differ_yes see_yes power_yes netspeak_yes has_hashtag has_url  clear moleg asking patient staff records federal law wontbepunished 
is_clout_yes netspeak_yes few_sixltr has_hashtag has_url  talking gender pay gap average woman number tell story equalpayday 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes negemo_yes anger_yes affiliation_yes power_yes risk_yes many_sixltr low_wps has_exclam has_hashtag  itsonus prevent sexual assault realsexed includes consent healthy relationships tell congress support rehya saam saam2016 
is_authentic_no is_tone_no negemo_yes power_yes reward_yes many_sixltr high_wps has_hashtag  higher path includes signing 18 anti abortion restrictions shuttered ohio clinics cut access reprohealth 
